CMDLINE C:\Python311\python.exe main.py
MEM 1.710938 1707509807.5151
MEM 22.441406 1707509807.6167
MEM 33.351562 1707509807.7170
MEM 44.542969 1707509807.8173
MEM 57.707031 1707509807.9177
MEM 69.753906 1707509808.0179
MEM 89.609375 1707509808.1183
MEM 109.550781 1707509808.2188
MEM 123.640625 1707509808.3192
MEM 145.597656 1707509808.4198
MEM 154.027344 1707509808.5202
MEM 174.042969 1707509808.6208
MEM 192.386719 1707509808.7213
MEM 225.324219 1707509808.8219
MEM 231.734375 1707509808.9221
MEM 242.312500 1707509809.0228
MEM 260.097656 1707509809.1232
MEM 280.355469 1707509809.2235
MEM 285.351562 1707509809.3238
MEM 287.988281 1707509809.4242
MEM 291.527344 1707509809.5245
MEM 294.007812 1707509809.6248
MEM 297.445312 1707509809.7253
MEM 310.070312 1707509809.8257
MEM 314.316406 1707509809.9262
MEM 323.574219 1707509810.0265
MEM 328.453125 1707509810.1266
MEM 333.296875 1707509810.2272
MEM 334.000000 1707509810.3278
MEM 341.773438 1707509810.4285
MEM 346.656250 1707509810.5290
MEM 348.621094 1707509810.6296
MEM 349.359375 1707509810.7300
MEM 350.019531 1707509810.8306
MEM 352.597656 1707509810.9310
MEM 353.132812 1707509811.0312
MEM 355.949219 1707509811.1314
MEM 356.062500 1707509811.2319
MEM 356.062500 1707509811.3325
MEM 356.062500 1707509811.4329
MEM 356.062500 1707509811.5332
MEM 356.062500 1707509811.6335
MEM 360.062500 1707509811.7337
MEM 360.085938 1707509811.8344
MEM 364.230469 1707509811.9348
MEM 364.238281 1707509812.0352
MEM 364.238281 1707509812.1354
MEM 364.238281 1707509812.2358
MEM 364.238281 1707509812.3363
MEM 364.238281 1707509812.4365
MEM 364.238281 1707509812.5371
MEM 364.238281 1707509812.6374
MEM 364.238281 1707509812.7381
MEM 364.238281 1707509812.8387
MEM 364.171875 1707509812.9393
MEM 364.171875 1707509813.0397
MEM 364.171875 1707509813.1404
MEM 364.171875 1707509813.2406
MEM 364.171875 1707509813.3412
MEM 364.171875 1707509813.4414
MEM 364.171875 1707509813.5418
MEM 364.171875 1707509813.6420
MEM 364.179688 1707509813.7425
MEM 362.835938 1707509813.8430
MEM 361.832031 1707509813.9435
MEM 350.945312 1707509814.0441
MEM 338.089844 1707509814.1445
MEM 338.089844 1707509814.2449
MEM 332.371094 1707509814.3451
MEM 300.277344 1707509814.4577
