Sat Feb 10 04:07:42 2024    profile_result.prof

         475501 function calls (461770 primitive calls) in 1.836 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    119/1    0.020    0.000    2.217    2.217 {built-in method builtins.exec}
        1    0.000    0.000    2.217    2.217 c:\Users\Administrator\Desktop\Structural_simulator-master\main.py:1445(OpenAPP)
        1    0.007    0.007    2.162    2.162 c:\Users\Administrator\Desktop\Structural_simulator-master\main.py:97(__init__)
        1    0.000    0.000    1.600    1.600 c:\Users\Administrator\Desktop\Structural_simulator-master\main.py:558(makeDockWindow)
       12    0.005    0.000    1.600    0.133 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\dockWidget.py:36(__init__)
       12    0.001    0.000    1.530    0.127 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\dockWidget.py:309(newWindowInit)
        1    0.002    0.002    0.432    0.432 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Resource.py:10(__init__)
        1    0.000    0.000    0.368    0.368 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Terminal.py:31(__init__)
        1    0.000    0.000    0.365    0.365 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\console.py:11(__init__)
      745    0.319    0.000    0.356    0.000 {built-in method setStyleSheet}
        1    0.014    0.014    0.343    0.343 c:\Users\Administrator\Desktop\Structural_simulator-master\main.py:1042(changeTheme)
        4    0.274    0.068    0.274    0.068 {method 'Start' of 'vtkmodules.vtkRenderingCore.vtkRenderWindowInteractor' objects}
        1    0.000    0.000    0.226    0.226 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Viewer.py:13(__init__)
        1    0.001    0.001    0.226    0.226 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Viewer.py:73(loadVtkWidget)
        3    0.002    0.001    0.210    0.070 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\flowWidgets.py:491(setRootPath)
        1    0.000    0.000    0.200    0.200 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Simulator.py:12(__init__)
        1    0.001    0.001    0.200    0.200 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Simulator.py:56(loadVtkWidget)
       11    0.174    0.016    0.188    0.017 {built-in method show}
    129/7    0.001    0.000    0.166    0.024 <frozen importlib._bootstrap>:1167(_find_and_load)
    128/7    0.001    0.000    0.166    0.024 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    122/6    0.001    0.000    0.162    0.027 <frozen importlib._bootstrap>:666(_load_unlocked)
    115/6    0.000    0.000    0.162    0.027 <frozen importlib._bootstrap_external>:934(exec_module)
       87    0.027    0.000    0.161    0.002 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\flowWidgets.py:127(__init__)
   266/13    0.000    0.000    0.161    0.012 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    78/46    0.000    0.000    0.161    0.003 {built-in method builtins.__import__}
       58    0.000    0.000    0.159    0.003 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1272(__new__)
       58    0.000    0.000    0.159    0.003 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1315(setup_instance)
       58    0.000    0.000    0.159    0.003 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1287(setup_instance)
      193    0.000    0.000    0.158    0.001 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:2162(instance_init)
      193    0.000    0.000    0.158    0.001 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:2167(_resolve_classes)
       35    0.000    0.000    0.157    0.004 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1986(_resolve_string)
       38    0.000    0.000    0.157    0.004 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\utils\importstring.py:8(import_item)
        1    0.000    0.000    0.156    0.156 C:\Python311\Lib\site-packages\ipykernel\inprocess\ipkernel.py:1(<module>)
